# Tab-separated: start	end	mode	name
# Generated by tools/import_tmc_symbols/import_tmc_symbols.py
# end=0 means "unknown — last function in source file".
0x08000108	0x08000147	thumb	UpdateScrollVram
0x08000148	0x08000151	thumb	SetCollisionData
0x08000152	0x080001CF	thumb	CloneTile
0x080001D0	0x080001D9	thumb	SetActTileAtTilePos
0x080001DA	0x08000287	thumb	GetTileIndex
0x08000288	0x0800028B	thumb	GetTileAtEntityPos
0x0800028C	0x0800028F	thumb	sub_080B19D8
0x08000290	0x08000293	thumb	sub_080B19EC
0x08000294	0x08000297	thumb	sub_080B19FC
0x08000298	0x0800029B	thumb	sub_080B1A04
0x0800029C	0x0800029F	thumb	GetTileTypeRelativeToEntity
0x080002A0	0x080002A3	thumb	GetTileTypeAtEntity
0x080002A4	0x080002A7	thumb	GetTileTypeAtWorldCoords
0x080002A8	0x080002AB	thumb	GetTileTypeAtRoomCoords
0x080002AC	0x080002AF	thumb	GetTileTypeAtRoomTile
0x080002B0	0x080002B3	thumb	GetTileTypeAtTilePos
0x080002B4	0x080002B7	thumb	GetActTileRelativeToEntity
0x080002B8	0x080002BB	thumb	GetActTileAtEntity
0x080002BC	0x080002BF	thumb	GetActTileAtWorldCoords
0x080002C0	0x080002C3	thumb	GetActTileAtRoomCoords
0x080002C4	0x080002C7	thumb	GetActTileAtRoomTile
0x080002C8	0x080002CB	thumb	GetActTileAtTilePos
0x080002CC	0x080002CF	thumb	GetCollisionDataRelativeTo
0x080002D0	0x080002D3	thumb	GetCollisionDataAtEntity
0x080002D4	0x080002D7	thumb	GetCollisionDataAtWorldCoords
0x080002D8	0x080002DB	thumb	GetCollisionDataAtRoomCoords
0x080002DC	0x080002DF	thumb	GetCollisionDataAtRoomTile
0x080002E0	0x080002E3	thumb	GetCollisionDataAtTilePos
0x080002E4	0x080002E7	thumb	GetActTileForTileType
0x080002E8	0x080002EB	thumb	sub_080B1B68
0x080002EC	0x080002EF	thumb	sub_080B1B84
0x080002F0	0x00000000	thumb	sub_080B1BA4
0x08000E44	0x08000E4F	thumb	sub_08000E44
0x08000E50	0x08000E61	thumb	Random
0x08000E62	0x08000E91	thumb	sub_08000E62
0x08000E92	0x08000E95	thumb	sub_08000E92
0x08000E96	0x00000000	thumb	LoadResourceAsync
0x08000EE0	0x08000EE7	thumb	__divsi3
0x08000EE8	0x08000EF1	thumb	__modsi3
0x08000EF2	0x08000EF3	thumb	_call_via_r0
0x08000EF4	0x08000EF5	thumb	_call_via_r1
0x08000EF6	0x08000EF7	thumb	_call_via_r2
0x08000EF8	0x08000EF9	thumb	_call_via_r3
0x08000EFA	0x08000EFB	thumb	_call_via_r4
0x08000EFC	0x08000EFD	thumb	_call_via_r5
0x08000EFE	0x08000EFF	thumb	_call_via_r6
0x08000F00	0x08000F01	thumb	_call_via_r7
0x08000F02	0x08000F03	thumb	_call_via_r8
0x08000F04	0x08000F05	thumb	_call_via_r9
0x08000F06	0x08000F07	thumb	_call_via_sl
0x08000F08	0x08000F09	thumb	_call_via_fp
0x08000F0A	0x08000F0B	thumb	_call_via_ip
0x08000F0C	0x08000F0D	thumb	_call_via_sp
0x08000F0E	0x00000000	thumb	_call_via_lr
0x08000F10	0x08000F13	thumb	CheckBits
0x08000F14	0x08000F2B	thumb	SumDropProbabilities
0x08000F2C	0x00000000	thumb	SumDropProbabilities2
0x080011C4	0x08001213	thumb	EnemyUpdate
0x08001214	0x08001241	thumb	sub_08001214
0x08001242	0x0800128F	thumb	GenericConfused
0x08001290	0x0800129D	thumb	sub_08001290
0x0800129E	0x080012DB	thumb	EnemyFunctionHandler
0x080012DC	0x08001317	thumb	sub_080012DC
0x08001318	0x08001323	thumb	sub_08001318
0x08001324	0x08001327	thumb	GenericKnockback
0x08001328	0x0800132B	thumb	GenericKnockback2
0x0800132C	0x00000000	thumb	sub_0800132C
0x08002632	0x080026C3	thumb	GetFuserId
0x080026C4	0x080026F1	thumb	sub_080026C4
0x080026F2	0x08002723	thumb	sub_080026F2
0x08002724	0x0800279B	thumb	UnpackTextNibbles
0x0800279C	0x080027E9	thumb	GetNextFunction
0x080027EA	0x08002863	thumb	LinearMoveDirectionOLD
0x08002864	0x080028DF	thumb	CalcCollisionDirectionOLD
0x080028E0	0x080028F3	thumb	sub_080028E0
0x080028F4	0x0800290D	thumb	GetRandomByWeight
0x0800290E	0x0800293D	thumb	CheckRectOnScreen
0x0800293E	0x00000000	thumb	CheckPlayerInRegion
0x08003FC4	0x08003FDD	thumb	GravityUpdate
