# Tab-separated: addr	region	name
# Generated by tools/import_tmc_symbols/import_tmc_symbols.py
# Source: zeldaret/tmc linker.ld inside-MEMORY symbol lines.
0x02000010	ewram	gUnk_02000010
0x02000020	ewram	gUnk_02000020
0x02000030	ewram	gUnk_02000030
0x02000040	ewram	gUnk_02000040
0x02000050	ewram	gMessage
0x02000070	ewram	gUpdateVisibleTiles
0x02000080	ewram	gChooseFileState
0x02000080	ewram	gIntroState
0x02000080	ewram	gMenu
0x02000090	ewram	gUnk_02000090
0x020000B0	ewram	gEnemyTarget
0x020000C0	ewram	gUnk_020000C0
0x02000CC0	ewram	gBgAnimations
0x02000D00	ewram	gTextGfxBuffer
0x02001A00	ewram	gPaletteList
0x02001A3C	ewram	gUnk_02001A3C
0x02001A40	ewram	gBG3Buffer
0x02002A40	ewram	gSave
0x02002F00	ewram	gMapDataTopSpecial
0x02006F00	ewram	gUnk_02006F00
0x0200AF00	ewram	gHUD
0x0200AF34	ewram	gUnk_0200AF34
0x0200B240	ewram	gTilesForSpecialTiles
0x0200B640	ewram	gUnk_0200B640
0x0200B644	ewram	gUsedPalettes
0x0200B650	ewram	gMapTop
0x02017654	ewram	gCurrentRoomProperties
0x02017660	ewram	gSmallChests
0x020176A0	ewram	gPaletteBuffer
0x02017830	ewram	gUnk_02017830
0x02017AA0	ewram	gUnk_02017AA0
0x02017BA0	ewram	gUnk_02017BA0
0x02018EA0	ewram	gUnk_02018EA0
0x02018EB0	ewram	gUnk_02018EB0
0x02018EE0	ewram	gUnk_02018EE0
0x02019EE0	ewram	gMapDataBottomSpecial
0x0201AEE0	ewram	gDungeonMap
0x02021EE0	ewram	gSoundPlayingInfo
0x02021F00	ewram	gUnk_02021F00
0x02021F20	ewram	gUnk_02021F20
0x02021F30	ewram	gBG1Buffer
0x02022730	ewram	gVBlankDMA
0x02022740	ewram	gFuseInfo
0x02022750	ewram	gPlayerScriptExecutionContext
0x02022780	ewram	gTextRender
0x020227DC	ewram	gUnk_020227DC
0x020227E8	ewram	gUnk_020227E8
0x020227F0	ewram	gUnk_020227F0
0x020227F8	ewram	gUnk_020227F8
0x02022800	ewram	gUnk_02022800
0x0202281D	ewram	gTextRenderUpdateDraw
0x02022830	ewram	gUnk_02022830
0x02024030	ewram	gMessageChoices
0x02024048	ewram	gUnk_02024048
0x02024050	ewram	gRoomMemory
0x02024090	ewram	gPaletteBufferBackup
0x02024490	ewram	gGFXSlots
0x020246B0	ewram	gUnk_020246B0
0x02025EB0	ewram	gMapBottom
0x02031EC0	ewram	gNPCData
0x02032EC0	ewram	gUI
0x02033280	ewram	gActiveScriptInfo
0x02033290	ewram	gUnk_02033290
0x02033A90	ewram	gArea
0x020342F8	ewram	gUnk_020342F8
0x02034330	ewram	gUnk_02034330
0x02034350	ewram	gRoomVars
0x02034480	ewram	gUnk_02034480
0x02034490	ewram	gPauseMenuOptions
0x02034492	ewram	gUnk_02034492
0x020344A0	ewram	gUnk_020344A0
0x020344B0	ewram	gBG2Buffer
0x02034CB0	ewram	gBG0Buffer
0x020354B0	ewram	gCurrentRoomMemory
